"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Never eat eggs, dairy, wheat, sugar: Dairy products","6144","Categorical (multiple)","ukb-b-18909","Type2-Diabetes","-0.0221206298372296","-0.0879456150468208","0.0437043553723615","0.0335847932557997","0.510120437270392","-0.0129506629874896","-0.0761066651792486","0.0502053392042695","0.0322230422037984","0.687752544785996","-0.0173459749657774","0.0232516431807683","-0.0629183581814595","0.0282264082499048","0.455660942050561","0","0.843811218913484"
"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar","6144","Categorical (multiple)","ukb-b-5495","Type2-Diabetes","0.0138986387952231","0.00369312965968861","0.0241041479307576","0.00520698809571719","0.00760258064666099","0.0167322603604448","0.00622363684125827","0.0272408838796314","0.0053616411332439","0.00180400383757905","0.0152739934575924","0.00373537467288731","0.00795279362997014","0.0225951932852146","4.33213646283883e-05","0","0.704589034262581"
"Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs","6144","Categorical (multiple)","ukb-b-17455","Type2-Diabetes","-0.0343806314904892","-0.0978526739874589","0.0290914110064805","0.0323842902204475","0.288396712597532","-0.0185578760896884","-0.0795047005976979","0.042388948418321","0.0310958900208117","0.550644162011135","-0.0261482457693179","0.0224297684236234","-0.0701097840611934","0.0178132925225577","0.24370213725857","0","0.724517839118829"
"Pork intake","1389","Categorical (single)","ukb-b-5640","Type2-Diabetes","0.00540251022048288","-0.000108199811805908","0.0109132202527717","0.00281163841568344","0.0546710763790752","0.00711813369340282","0.000811951720027211","0.0134243156667784","0.00321749890463191","0.026944636897427","0.00614535315308778","0.00211717089890557","0.00199577444211657","0.010294931864059","0.00370049464094475","0","0.688042191258023"
"Processed meat intake","1349","Categorical (single)","ukb-b-6324","Type2-Diabetes","0.00224255796067835","-0.000845192766582908","0.00533030868793961","0.00157541197267758","0.154598798009013","0.00265007839674428","-0.000649503271307697","0.00594966006479625","0.00168349096926201","0.115451253286154","0.00243281792697377","0.00115029651125569","0.000178278193370536","0.004687357660577","0.0344343334857945","0","0.859706414461786"
"Spread type: Butter/spreadable butter","1428","Categorical (single)","ukb-d-1428_1","Type2-Diabetes","0.00365136790492549","-0.00475247265946008","0.0120552084693111","0.0042877525457988","0.394446778847498","0.00079494722754688","-0.00796105303305705","0.00955094748815081","0.0044674291617959","0.858767831955861","0.00228175325890077","0.00309346912943616","-0.00378133482208057","0.00834484133988211","0.460755506160522","0","0.644585585634964"
"Spread type: Other type of spread/margarine","1428","Categorical (single)","ukb-d-1428_3","Type2-Diabetes","0.00271664884251999","-0.00853374066922188","0.0139670383542619","0.00574010012453469","0.636016628362266","-0.00038315930874051","-0.0122980873512668","0.0115317687337858","0.00607915662558583","0.949743916423328","0.00125559518527811","0.0041735825482442","-0.00692447629578541","0.00943566666634164","0.763533835135933","0","0.710823832448649"
"Spread type: Never/rarely use spread","1428","Categorical (single)","ukb-d-1428_0","Type2-Diabetes","0.00335235869638172","-0.0146763995747799","0.0213811169675434","0.00919851508158834","0.715525261135324","0.00959293479811724","-0.00949340285834633","0.0286792724545808","0.00973810631573548","0.324578672221768","0.00629496836374324","0.00668695650776501","-0.00681122555766192","0.0194011622851484","0.346510063559551","0","0.641311473060858"
"Spread type: Flora Pro-Active/Benecol","1428","Categorical (single)","ukb-d-1428_2","Type2-Diabetes","-0.0737563157136536","-0.170307188852069","0.0227945574247623","0.0492615547530449","0.134331108619359","-0.0055605559402219","-0.15003727857118","0.138916166690736","0.0737139680986853","0.939869230402069","-0.0527027238765974","0.0409575720358454","-0.132978089961059","0.0275726422078645","0.198176603758402","0","0.441780482253374"
"Variation in diet","1548","Categorical (single)","ukb-b-2909","Type2-Diabetes","0.00484839641452498","-0.00103346997628202","0.010730262805332","0.00300100738442258","0.106183067115113","0.00502424748505396","-0.00138129518226537","0.0114297901523733","0.00326819406777136","0.124215911252556","0.00492884095289367","0.00221046483829961","0.000596409480734274","0.00926127242505306","0.0257623322638666","0","0.968385952264923"
