"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Sleep duration","1160","Integer","ukb-b-4424","CAD","-0.121992028871017","-0.281379708350022","0.037395650607988","0.0813217389381819","0.133584398019166","-0.182098642754443","-0.359708097342089","-0.00448918816679761","0.090618733807665","0.0444837872591001","-0.148804784860079","0.0605239949330559","-0.267429635129354","-0.030179934590805","0.013947677487619","0","0.621548516115412"
"Sleeplessness / insomnia","1200","Categorical (single)","ukb-b-3957","CAD","0.506697144539512","0.322041115359081","0.691353173719943","0.0942139909901276","7.52543581599075e-08","0.385638028063964","0.141413629865914","0.629862426262013","0.12460657446997","0.00196915805250159","0.462663588764524","0.0751508826062135","0.315370565449948","0.6099566120791","7.43877898784943e-10","0","0.4383675767164"
"Current tobacco smoking","1239","Categorical (single)","ukb-b-223","CAD","0.653686655455172","0.362973649298496","0.944399661611848","0.148325687844156","1.04762144271212e-05","0.690502372736899","0.361211298932754","1.01979344654104","0.168008737100044","3.95797194389072e-05","0.669812590937525","0.111193062833854","0.451878192452472","0.887746989422578","1.70294829892998e-09","0","0.869517268228434"
"Ever smoked","20160","Categorical (single)","ukb-b-20261","CAD","0.231231482260296","0.00440785140359931","0.458055113116993","0.115728468811597","0.045711038134164","0.323575591307413","0.0359571438621108","0.611194038752715","0.14674680234637","0.0274546243023473","0.266640965639534","0.0908706938433173","0.0885376784564663","0.444744252822601","0.0033431172298829","0","0.62122806001628"
"Smoking status: Current","20116","Categorical (single)","ukb-a-225","CAD","0.674963864088868","0.105913914672272","1.24401381350546","0.290336941854641","0.0200847683864897","0.301046926734106","-0.362428883296933","0.964522736765145","0.338514286621822","0.373832075974284","0.516484642968297","0.220381734809246","0.0845443798917179","0.948424906044876","0.0190991041731528","0","0.401784233047536"
"Smoking status: Previous","20116","Categorical (single)","ukb-a-224","CAD","0.316050210625803","-0.0513155740384948","0.683415995290102","0.18743496694941","0.0917599863034303","0.0599644203706552","-0.328823160937609","0.44875200167892","0.198364655868665","0.762428047551996","0.195256398362818","0.136236631390651","-0.0717624925379161","0.462275289263552","0.151796373427945","0","0.348065002835237"
"Smoking status: Never","20116","Categorical (single)","ukb-d-20116_0","CAD","-0.615755338378186","-0.832792533220961","-0.398718143535412","0.110735297461962","2.68839800334415e-08","-0.22259565485871","-0.449023004323026","0.00383169460560623","0.115526280712475","0.0540049726194021","-0.427496738386878","0.0799417618831496","-0.584179712538528","-0.270813764235228","8.91271072991124e-08","0.834328291201864","0.0140167415312667"
"Able to confide","2110","Categorical (single)","ukb-b-4982","CAD","-0.0100953239239669","-0.094304163672276","0.0741135158243422","0.042964483231599","0.814232753202872","-0.0572549931844823","-0.165571571048777","0.0510615846798128","0.0552645756343905","0.30019460559906","-0.0278610600685432","0.033919783220678","-0.0943426135444781","0.0386204934073917","0.411429373127133","0","0.500501233991284"
"Frequency of friend/family visits","1031","Categorical (single)","ukb-b-5379","CAD","-0.0708920647779046","-0.221343584065681","0.079559454509872","0.0767623897553828","0.355733143736714","-0.115622690740842","-0.274639555302796","0.0433941738211122","0.0811325441774742","0.154125795783518","-0.0920202886056009","0.0557601715930728","-0.201308216699797","0.0172676394885952","0.098884241436911","0","0.6887998445952"
"Use of sun/uv protection","2267","Categorical (single)","ukb-b-7422","CAD","0.0742303512872503","-0.0856220008886137","0.234082703463114","0.0815588212011848","0.362746058452863","0.0583289211705348","-0.111665874633832","0.228323716974902","0.0867336324265468","0.501261379842492","0.0667681261691457","0.0594160280513997","-0.0496851489160192","0.183221401254311","0.261123636086916","0","0.893749320717568"
